rpm,brake_power_kW,brake_torque_Nm,bsfc_g_per_kWh,egt_K,source,notes
4500,14.578,30.926,,,Team chassis dyno run SDM(1) (Dynojet),
5000,17.159,32.770,,,Team chassis dyno run SDM(1) (Dynojet),
5500,23.586,40.946,,,Team chassis dyno run SDM(1) (Dynojet),
6000,29.850,47.508,,,Team chassis dyno run SDM(1) (Dynojet),
6500,29.403,43.196,,,Team chassis dyno run SDM(1) (Dynojet),
7000,30.835,42.071,,,Team chassis dyno run SDM(1) (Dynojet),
7500,32.878,41.868,,,Team chassis dyno run SDM(1) (Dynojet),
8000,37.695,45.000,,,Team chassis dyno run SDM(1) (Dynojet),
8500,44.056,49.501,,,Team chassis dyno run SDM(1) (Dynojet),
9000,44.466,47.183,,,Team chassis dyno run SDM(1) (Dynojet),
9500,45.376,45.610,,,Team chassis dyno run SDM(1) (Dynojet),
10000,44.899,42.871,,,Team chassis dyno run SDM(1) (Dynojet),
10500,42.423,38.587,,,Team chassis dyno run SDM(1) (Dynojet),
11000,42.512,36.905,,,Team chassis dyno run SDM(1) (Dynojet),
11500,41.110,34.140,,,Team chassis dyno run SDM(1) (Dynojet),
12000,42.132,33.529,,,Team chassis dyno run SDM(1) (Dynojet),
12500,45.316,34.614,,,Team chassis dyno run SDM(1) (Dynojet),
13000,45.055,33.096,,,Team chassis dyno run SDM(1) (Dynojet),
13500,41.043,29.028,,,Team chassis dyno run SDM(1) (Dynojet),Last datapoint in file
